User,Tweets,Post_date
RapMais,RT @kayacarvalho: Mirando um feat futuro com Travis Scott 😶 ela n dá ponto sem nó,2021-04-25 06:07:34
RapMais,RT @pretozeze: Hoje estarei participando do programa @altashoras para contar um pouco sobre os projetos  da CUFA realizados durante a pande…,2021-04-25 00:47:27
RapMais,Policial que matou George Floyd está sendo investigado por ter ficado ajoelhado nas costas de um adolescente negro… https://t.co/Hem8QvZIz1,2021-04-24 23:36:32
RapMais,"O rapper Kanye West está neste momento com o coral do Sunday Service no memorial do rapper DMX. 

Os fãs podem assi… https://t.co/6AvalxJCWC",2021-04-24 22:55:55
RapMais,"6ix9ine faz primeiro show desde que saiu da prisão, se joga na multidão e tem corrente roubada -… https://t.co/f3m1k6EkHU",2021-04-24 22:54:13
RapMais,PK Delas debocha após ser detido por fazer sexo com duas mulheres em carro na orla do Rio de Janeiro -… https://t.co/EWiTPhRTvu,2021-04-24 22:34:14
RapMais,Rapper DMX gravou seu úlltimo álbum no estúdio do Snoop Dogg - https://t.co/PP6tTeY8WH https://t.co/n7hBCIqxB1,2021-04-24 22:21:54
RapMais,TA$TE.INC libera videoclipe do single ''GLOCK NA CINTA''; confira - https://t.co/QtOV2qDdHl https://t.co/KR48hl1VWh,2021-04-24 22:19:25
RapMais,Steph Curry revela que costumava ter 'inveja' de LeBron James - https://t.co/U9XUTPO3f8 https://t.co/Mv610whpSQ,2021-04-24 22:13:25
RapMais,Kanye West e Balenciaga se unem para fazer merch em homenagem ao rapper DMX - https://t.co/Xc9VkdeB4X https://t.co/g3PrllQVat,2021-04-24 21:58:53
RapMais,Acompanhe ao vivo o memorial do rapper DMX - https://t.co/wla19p2Quf https://t.co/f0ujyW2RW3,2021-04-24 21:43:13
RapMais,Lil Yachty revela que recebeu ameaças de morte após dizer que Biggie Smalls era superestimado -… https://t.co/00NJ0Ov55r,2021-04-24 21:32:13
RapMais,"Nova música ""Girl From Rio"" de Anitta será trap com sample de 'Garota de Ipanema' - https://t.co/ah8BYjUKgI https://t.co/ILgJKfslVh",2021-04-24 20:57:09
RapMais,"Fãs, amigos e familiares se unem para funeral do rapper DMX no Brooklyn - https://t.co/NwayQVL0wH https://t.co/oRKd78vjPC",2021-04-24 20:28:06
RapMais,"@ZaKpx7 não, apenas músicas upadas no youtube, caso queira enviar uma faixa, só linkar ela como não listado!",2021-04-24 20:10:14
RapMais,@BiellFromRio ✌🏽,2021-04-24 19:54:57
RapMais,"Não esqueçam de chamar a galera, a votação do chat vale 1 ponto!",2021-04-24 19:44:48
RapMais,"Jeff XXL libera E.P ""Cactos"" com 4 faixas inéditas; Confira - https://t.co/7C96jQw8s4 https://t.co/g9Q9npQekj",2021-04-24 18:26:49
RapMais,"RT @pedroqualy: OH LÁ !!
OPORTUNIDADE DE MOSTRAR TEU TRAMPO !",2021-04-24 04:00:53
RapMais,Lembrando que essa thread é composta de citações rápidas em tempo real. É uma alternativa pra galera que curte o tr… https://t.co/j4RHN7Qsbk,2021-04-24 01:59:33
RapMais,"""Tô com tanta música boa, que poderia lançar uma mixtape por dia. Ansioso pra mostrar pra vocês""

Jovem Dex no #PodPah #RapMais",2021-04-24 01:50:23
RapMais,"""Não é porque o rap não te agrada, que não é bom. Você não pode chegar e dizer o que o outro pode ou não fazer na a… https://t.co/mbloGTdAD0",2021-04-24 01:41:08
RapMais,"""A galera que me acompanha sabe que eu curto anime. Coloco foto de anime. Gosto muito do 7Minutoz e do Player Tauz,… https://t.co/iepqO5jtdS",2021-04-24 01:38:52
RapMais,"""Eu sou uma pessoa muito humilde, muito feliz. Ajudo muitas pessoas, mas a diferença é que eu não divulgo. Eu acho… https://t.co/4zsTNvDk82",2021-04-24 00:48:18
RapMais,"""Tô com uma música gravada com o Léo Santana cantando Trap""

Jovem Dex no #PodPah #RapMais 🔥",2021-04-24 00:26:21
RapMais,"""Minhas inspirações pra fazer o disco foram meus amigos. Não teve muito disso que ter influência de Kendrick Lamar,… https://t.co/F1pqrWRC6j",2021-04-24 00:23:31
RapMais,"""A galera do Hip Hop é vaidosa pra caralho. Eu mesmo gosto muito de fazer skincare. É bom manter a frequência e ver… https://t.co/jN9RYifrWx",2021-04-24 00:19:13
RapMais,"""Não gosto dessa cultura do Brasil de não poder mostrar a minha vitória. Quero bater no meu peito e dizer que sou f… https://t.co/g5wI4sN3R8",2021-04-24 00:13:44
RapMais,"""O trap é muito promissor. Mesmo que a música nordestina, e principalmente da Bahia seja o forró, o pagofunk, o tra… https://t.co/tk1BcRPcq8",2021-04-23 23:54:48
RapMais,"""Tem gente que vive de falar mal da Bahia, mas quando é carnaval, estão lá. Nossa cultura é muito foda""

Jovem Dex no #PodPah #RapMais 🔥",2021-04-23 23:47:39
